name,referencePath,policyType,category,displayName,description,groupNames,policySets,allowedEffects,sandboxEffect,sandboxParameters,prodEffect,prodParameters
3aa03346-d8c5-4994-a5bc-7652c2a2aef1,,BuiltIn,API Management,API Management subscriptions should not be scoped to all APIs,"API Management subscriptions should be scoped to a product or an individual API instead of all APIs, which could result in an excessive data exposure.","Azure_Security_Benchmark_v3.0_PA-7,NIS2_AM._Asset_Management_9","MCSB: Audit (Policy Default),MCSB-V2: Audit (Policy Default),NIS2-Preview: Audit (Policy Default)","override: Deny,Audit,Disabled",Audit,,Audit,
1dc2fc00-2245-4143-99f4-874c937f13ef,,BuiltIn,API Management,Azure API Management platform version should be stv2,"Azure API Management stv1 compute platform version will be retired effective 31 August 2024, and these instances should be migrated to stv2 compute platform for continued support. Learn more at https://learn.microsoft.com/azure/api-management/breaking-changes/stv1-platform-retirement-august-2024","Azure_Security_Benchmark_v3.0_AM-2,Azure_Security_Benchmark_v3.0_PV-2,EU_2555_(NIS2)_2022_21","MCSB: Audit (Policy Default),MCSB-V2: Audit (Policy Default),NIS2-EU-2022: Audit (default: effect-1dc2fc00-2245-4143-99f4-874c937f13ef)","parameter: Deny,Audit,Disabled",Audit,,Audit,
3d9f5e4c-9947-4579-9539-2a7695fbc187,,BuiltIn,App Configuration,App Configuration should disable public network access,Disabling public network access improves security by ensuring that the resource isn't exposed on the public internet. You can limit exposure of your resources by creating private endpoints instead. Learn more at: https://aka.ms/appconfig/private-endpoint.,"Azure_Security_Benchmark_v3.0_NS-2,EU_2555_(NIS2)_2022_21,NIST_CSF_v2.0_PR.AA_05","MCSB-V2: Audit (Policy Default),NIS2-EU-2022: Audit (default: effect-3d9f5e4c-9947-4579-9539-2a7695fbc187),NIST CSF V2: Audit (default: effect-3d9f5e4c-9947-4579-9539-2a7695fbc187)","parameter: Deny,Audit,Disabled",Audit,,Audit,
967a4b4b-2da9-43c1-b7d0-f98d0d74d0b1,,BuiltIn,App Configuration,App Configuration should use a customer-managed key,Customer-managed keys provide enhanced data protection by allowing you to manage your encryption keys. This is often required to meet compliance requirements.,"EU_2555_(NIS2)_2022_21,ISO_IEC_27001_2022_7.5.3","NIS2-EU-2022: Audit (default: effect-967a4b4b-2da9-43c1-b7d0-f98d0d74d0b1),ISO/IEC 27001 2022: Audit (default: effect-967a4b4b-2da9-43c1-b7d0-f98d0d74d0b1)","parameter: Deny,Audit,Disabled",Audit,,Audit,
89c8a434-18f0-402c-8147-630a8dea54e0,,BuiltIn,App Configuration,App Configuration should use a SKU that supports private link,"When using a supported SKU, Azure Private Link lets you connect your virtual network to Azure services without a public IP address at the source or destination. The private link platform handles the connectivity between the consumer and services over the Azure backbone network. By mapping private endpoints to your app configuration instances instead of the entire service, you'll also be protected against data leakage risks. Learn more at: https://aka.ms/appconfig/private-endpoint.",Azure_Security_Benchmark_v3.0_NS-2,MCSB-V2: Audit (Policy Default),"override: Deny,Audit,Disabled",Audit,,Audit,
ca610c1d-041c-4332-9d88-7ed3094967c7,,BuiltIn,App Configuration,App Configuration should use private link,"Azure Private Link lets you connect your virtual network to Azure services without a public IP address at the source or destination. The private link platform handles the connectivity between the consumer and services over the Azure backbone network. By mapping private endpoints to your app configuration instances instead of the entire service, you'll also be protected against data leakage risks. Learn more at: https://aka.ms/appconfig/private-endpoint.","Azure_Security_Benchmark_v3.0_NS-2,NIST_SP_800-53_R5_AC-17,NIST_SP_800-53_R5_AC-17(1),NIST_SP_800-53_R5_AC-4,NIST_SP_800-53_R5_SC-7,NIST_SP_800-53_R5_SC-7(3)","MCSB: AuditIfNotExists (default: appConfigurationShouldUsePrivateLinkMonitoringEffect),MCSB-V2: AuditIfNotExists (Policy Default),NIST-800-53: AuditIfNotExists (Policy Default)","parameter: AuditIfNotExists,Disabled",AuditIfNotExists,,AuditIfNotExists,
af35e2a4-ef96-44e7-a9ae-853dd97032c4,,BuiltIn,App Platform,Azure Spring Cloud should use network injection,Azure Spring Cloud instances should use virtual network injection for the following purposes: 1. Isolate Azure Spring Cloud from Internet. 2. Enable Azure Spring Cloud to interact with systems in either on premises data centers or Azure service in other virtual networks. 3. Empower customers to control inbound and outbound network communications for Azure Spring Cloud.,"Azure_Security_Benchmark_v3.0_NS-2,EU_2555_(NIS2)_2022_21,NIST_SP_800-53_R5_AC-17,NIST_SP_800-53_R5_AC-17(1)","MCSB: Audit (default: azureSpringCloudShouldUseNetworkInjectionMonitoringEffect),MCSB-V2: Audit (Policy Default),NIST-800-53: Audit (default: effect-af35e2a4-ef96-44e7-a9ae-853dd97032c4),NIS2-EU-2022: Audit (default: effect-af35e2a4-ef96-44e7-a9ae-853dd97032c4)","parameter: Deny,Audit,Disabled",Audit,"{""evaluatedSkuNames-af35e2a4-ef96-44e7-a9ae-853dd97032c4"":[""Standard""]}",Audit,"{""evaluatedSkuNames-af35e2a4-ef96-44e7-a9ae-853dd97032c4"":[""Standard""]}"
701a595d-38fb-4a66-ae6d-fb3735217622,,BuiltIn,App Service,App Service app slots should disable public network access,Disabling public network access improves security by ensuring that the App Service is not exposed on the public internet. Creating private endpoints can limit exposure of an App Service. Learn more at: https://aka.ms/app-service-private-endpoint.,Azure_Security_Benchmark_v3.0_NS-2,MCSB-V2: Audit (Policy Default),"override: Deny,Audit,Disabled",Audit,,Audit,
123aed70-491a-4f07-a569-e1f3a8dd651e,,BuiltIn,App Service,App Service app slots should enable end to end encryption,Enabling end to end encryption ensures front-end intra-cluster traffic between App Service front-ends and the workers running application workloads is encrypted.,Azure_Security_Benchmark_v3.0_DP-3,MCSB-V2: Audit (Policy Default),"override: Deny,Audit,Disabled",Audit,,Audit,
4a15c15f-90d5-4a1f-8b63-2903944963fd,,BuiltIn,App Service,App Service app slots should use managed identity,Use a managed identity for enhanced authentication security,Azure_Security_Benchmark_v3.0_IM-3,MCSB-V2: AuditIfNotExists (Policy Default),"override: AuditIfNotExists,Disabled",AuditIfNotExists,,AuditIfNotExists,
4ee5b817-627a-435a-8932-116193268172,,BuiltIn,App Service,App Service app slots should use the latest TLS version,"Periodically, newer versions are released for TLS either due to security flaws, include additional functionality, and enhance speed. Upgrade to the latest TLS version for App Service apps to take advantage of security fixes, if any, and/or new functionalities of the latest version.",Azure_Security_Benchmark_v3.0_DP-3,MCSB-V2: AuditIfNotExists (Policy Default),"override: AuditIfNotExists,Disabled",AuditIfNotExists,,AuditIfNotExists,
1b5ef780-c53c-4a64-87f3-bb9c8c8094ba,,BuiltIn,App Service,App Service apps should disable public network access,Disabling public network access improves security by ensuring that the App Service is not exposed on the public internet. Creating private endpoints can limit exposure of an App Service. Learn more at: https://aka.ms/app-service-private-endpoint.,Azure_Security_Benchmark_v3.0_NS-2,MCSB-V2: Audit (Policy Default),"override: Deny,Audit,Disabled",Audit,,Audit,
af1d7e88-c1c8-4ea8-be1f-87bff0df9101,,BuiltIn,App Service,App Service apps should enable end to end encryption,Enabling end to end encryption ensures front-end intra-cluster traffic between App Service front-ends and the workers running application workloads is encrypted.,Azure_Security_Benchmark_v3.0_DP-3,MCSB-V2: Audit (Policy Default),"override: Deny,Audit,Disabled",Audit,,Audit,
95bccee9-a7f8-4bec-9ee9-62c3473701fc,,BuiltIn,App Service,App Service apps should have authentication enabled,"Azure App Service Authentication is a feature that can prevent anonymous HTTP requests from reaching the web app, or authenticate those that have tokens before they reach the web app.","EU_2555_(NIS2)_2022_21,NIST_CSF_v2.0_PR.AA_05","NIS2-EU-2022: AuditIfNotExists (default: effect-95bccee9-a7f8-4bec-9ee9-62c3473701fc),NIST CSF V2: AuditIfNotExists (default: effect-95bccee9-a7f8-4bec-9ee9-62c3473701fc)","parameter: AuditIfNotExists,Disabled",AuditIfNotExists,,AuditIfNotExists,
19dd1db6-f442-49cf-a838-b0786b4401ef,,BuiltIn,App Service,App Service apps should have Client Certificates (Incoming client certificates) enabled,Client certificates allow for the app to request a certificate for incoming requests. Only clients that have a valid certificate will be able to reach the app. This policy applies to apps with Http version set to 1.1.,"Azure_Security_Benchmark_v3.0_PV-2,EU_2555_(NIS2)_2022_21,NIST_CSF_v2.0_PR.DS_02,NIST_SP_800-53_R5_CM-6","MCSB: AuditIfNotExists (Policy Default),MCSB-V2: AuditIfNotExists (Policy Default),NIST-800-53: AuditIfNotExists (Policy Default),NIS2-EU-2022: AuditIfNotExists (default: effect-19dd1db6-f442-49cf-a838-b0786b4401ef),NIST CSF V2: AuditIfNotExists (default: effect-19dd1db6-f442-49cf-a838-b0786b4401ef)","parameter: AuditIfNotExists,Disabled",AuditIfNotExists,,AuditIfNotExists,
871b205b-57cf-4e1e-a234-492616998bf7,,BuiltIn,App Service,App Service apps should have local authentication methods disabled for FTP deployments,Disabling local authentication methods for FTP deployments improves security by ensuring that App Services exclusively require Microsoft Entra identities for authentication. Learn more at: https://aka.ms/app-service-disable-basic-auth.,Azure_Security_Benchmark_v3.0_IM-1,MCSB-V2: AuditIfNotExists (Policy Default),"override: AuditIfNotExists,Disabled",AuditIfNotExists,,AuditIfNotExists,
aede300b-d67f-480a-ae26-4b3dfb1a1fdc,,BuiltIn,App Service,App Service apps should have local authentication methods disabled for SCM site deployments,Disabling local authentication methods for SCM sites improves security by ensuring that App Services exclusively require Microsoft Entra identities for authentication. Learn more at: https://aka.ms/app-service-disable-basic-auth.,Azure_Security_Benchmark_v3.0_IM-1,MCSB-V2: AuditIfNotExists (Policy Default),"override: AuditIfNotExists,Disabled",AuditIfNotExists,,AuditIfNotExists,
cb510bfd-1cba-4d9f-a230-cb0976f4bb71,,BuiltIn,App Service,App Service apps should have remote debugging turned off,Remote debugging requires inbound ports to be opened on an App Service app. Remote debugging should be turned off.,"Azure_Security_Benchmark_v3.0_PV-2,EU_2555_(NIS2)_2022_21,NIST_SP_800-53_R5_AC-17,NIST_SP_800-53_R5_AC-17(1),NIST_SP_800-53_R5_CM-6","MCSB: AuditIfNotExists (default: webAppDisableRemoteDebuggingMonitoringEffect),MCSB-V2: AuditIfNotExists (Policy Default),NIST-800-53: AuditIfNotExists (Policy Default),NIS2-EU-2022: AuditIfNotExists (default: effect-cb510bfd-1cba-4d9f-a230-cb0976f4bb71)","parameter: AuditIfNotExists,Disabled",AuditIfNotExists,,AuditIfNotExists,
91a78b24-f231-4a8a-8da9-02c35b2b6510,,BuiltIn,App Service,App Service apps should have resource logs enabled,Audit enabling of resource logs on the app. This enables you to recreate activity trails for investigation purposes if a security incident occurs or your network is compromised.,"Azure_Security_Benchmark_v3.0_LT-3,NIST_SP_800-53_R5_AU-12,NIST_SP_800-53_R5_AU-12(1),NIST_SP_800-53_R5_AU-6(4),NIST_SP_800-53_R5_AU-6(5)","MCSB: AuditIfNotExists (default: diagnosticLogsInAppServicesShouldBeEnabledMonitoringEffect),MCSB-V2: AuditIfNotExists (Policy Default),NIST-800-53: AuditIfNotExists (Policy Default)","parameter: AuditIfNotExists,Disabled",AuditIfNotExists,,AuditIfNotExists,
5744710e-cc2f-4ee8-8809-3b11e89f4bc9,,BuiltIn,App Service,App Service apps should not have CORS configured to allow every resource to access your apps,Cross-Origin Resource Sharing (CORS) should not allow all domains to access your app. Allow only required domains to interact with your app.,"Azure_Security_Benchmark_v3.0_PV-2,NIST_SP_800-53_R5_AC-4,NIST_SP_800-53_R5_CM-6","MCSB: AuditIfNotExists (default: webAppRestrictCORSAccessMonitoringEffect),MCSB-V2: AuditIfNotExists (Policy Default),NIST-800-53: AuditIfNotExists (Policy Default)","parameter: AuditIfNotExists,Disabled",AuditIfNotExists,,AuditIfNotExists,
a4af4a39-4135-47fb-b175-47fbdf85311d,,BuiltIn,App Service,App Service apps should only be accessible over HTTPS,Use of HTTPS ensures server/service authentication and protects data in transit from network layer eavesdropping attacks.,"Azure_Security_Benchmark_v3.0_DP-3,NIS2_DP._Data_Protection_8,NIST_SP_800-53_R5_SC-8,NIST_SP_800-53_R5_SC-8(1)","MCSB: Audit (default: webAppEnforceHttpsMonitoringEffectV2),MCSB-V2: Audit (Policy Default),NIST-800-53: Audit (Policy Default),NIS2-Preview: Audit (Policy Default)","parameter: Deny,Audit,Disabled",Audit,,Audit,
4d24b6d4-5e53-4a4f-a7f4-618fa573ee4b,,BuiltIn,App Service,App Service apps should require FTPS only,Enable FTPS enforcement for enhanced security.,"Azure_Security_Benchmark_v3.0_DP-3,NIST_SP_800-53_R5_SC-8,NIST_SP_800-53_R5_SC-8(1)","MCSB: AuditIfNotExists (default: fTPSShouldBeRequiredInYourWebAppMonitoringEffect),MCSB-V2: AuditIfNotExists (Policy Default),NIST-800-53: AuditIfNotExists (Policy Default)","parameter: AuditIfNotExists,Disabled",AuditIfNotExists,,AuditIfNotExists,
546fe8d2-368d-4029-a418-6af48a7f61e5,,BuiltIn,App Service,App Service apps should use a SKU that supports private link,"With supported SKUs, Azure Private Link lets you connect your virtual network to Azure services without a public IP address at the source or destination. The Private Link platform handles the connectivity between the consumer and services over the Azure backbone network. By mapping private endpoints to apps, you can reduce data leakage risks. Learn more about private links at: https://aka.ms/private-link.",Azure_Security_Benchmark_v3.0_NS-2,MCSB-V2: Audit (Policy Default),"override: Deny,Audit,Disabled",Audit,,Audit,
8c122334-9d20-4eb8-89ea-ac9a705b74ae,,BuiltIn,App Service,App Service apps should use latest 'HTTP Version',"Periodically, newer versions are released for HTTP either due to security flaws or to include additional functionality. Using the latest HTTP version for web apps to take advantage of security fixes, if any, and/or new functionalities of the newer version.","NIST_SP_800-53_R5_SI-2,NIST_SP_800-53_R5_SI-2(6)",NIST-800-53: AuditIfNotExists (Policy Default),"override: AuditIfNotExists,Disabled",AuditIfNotExists,,AuditIfNotExists,
2b9ad585-36bc-4615-b300-fd4435808332,,BuiltIn,App Service,App Service apps should use managed identity,Use a managed identity for enhanced authentication security,"Azure_Security_Benchmark_v3.0_IM-3,NIST_SP_800-53_R5_AC-2,NIST_SP_800-53_R5_AC-3,NIST_SP_800-53_R5_IA-2,NIST_SP_800-53_R5_IA-4","MCSB: AuditIfNotExists (default: managedIdentityShouldBeUsedInYourWebAppMonitoringEffect),MCSB-V2: AuditIfNotExists (Policy Default),NIST-800-53: AuditIfNotExists (Policy Default)","parameter: AuditIfNotExists,Disabled",AuditIfNotExists,,AuditIfNotExists,
687aa49d-0982-40f8-bf6b-66d1da97a04b,,BuiltIn,App Service,App Service apps should use private link,"Azure Private Link lets you connect your virtual networks to Azure services without a public IP address at the source or destination. The Private Link platform handles the connectivity between the consumer and services over the Azure backbone network. By mapping private endpoints to App Service, you can reduce data leakage risks. Learn more about private links at: https://aka.ms/private-link.",Azure_Security_Benchmark_v3.0_NS-2,MCSB-V2: AuditIfNotExists (Policy Default),"override: AuditIfNotExists,Disabled",AuditIfNotExists,,AuditIfNotExists,
f0e6e85b-9b9f-4a4b-b67b-f730d42f1b0b,,BuiltIn,App Service,App Service apps should use the latest TLS version,"Periodically, newer versions are released for TLS either due to security flaws, include additional functionality, and enhance speed. Upgrade to the latest TLS version for App Service apps to take advantage of security fixes, if any, and/or new functionalities of the latest version.","Azure_Security_Benchmark_v3.0_DP-3,Azure_Security_Benchmark_v3.0_NS-8,NIST_SP_800-53_R5_SC-8,NIST_SP_800-53_R5_SC-8(1)","MCSB: AuditIfNotExists (default: latestTLSVersionShouldBeUsedInYourWebAppMonitoringEffect),MCSB-V2: AuditIfNotExists (Policy Default),NIST-800-53: AuditIfNotExists (Policy Default)","parameter: AuditIfNotExists,Disabled",AuditIfNotExists,,AuditIfNotExists,
2d048aca-6479-4923-88f5-e2ac295d9af3,,BuiltIn,App Service,App Service Environment apps should not be reachable over public internet,"To ensure apps deployed in an App Service Environment are not accessible over public internet, one should deploy App Service Environment with an IP address in virtual network. To set the IP address to a virtual network IP, the App Service Environment must be deployed with an internal load balancer.",Azure_Security_Benchmark_v3.0_NS-2,MCSB-V2: Audit (Policy Default),"override: Deny,Audit,Disabled",Audit,,Audit,
817dcf37-e83d-4999-a472-644eada2ea1e,,BuiltIn,App Service,App Service Environment should be configured with strongest TLS Cipher suites,The two most minimal and strongest cipher suites required for App Service Environment to function correctly are : TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384 and TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256.,Azure_Security_Benchmark_v3.0_DP-3,MCSB-V2: Audit (Policy Default),"override: Audit,Disabled",Audit,,Audit,
fb74e86f-d351-4b8d-b034-93da7391c01f,,BuiltIn,App Service,App Service Environment should have internal encryption enabled,"Setting InternalEncryption to true encrypts the pagefile, worker disks, and internal network traffic between the front ends and workers in an App Service Environment. To learn more, refer to https://docs.microsoft.com/azure/app-service/environment/app-service-app-service-environment-custom-settings#enable-internal-encryption.","Azure_Security_Benchmark_v3.0_DP-3,NIST_SP_800-53_R5_SC-28,NIST_SP_800-53_R5_SC-28(1)","MCSB-V2: Audit (Policy Default),NIST-800-53: Audit (Policy Default)","override: Audit,Disabled",Audit,,Audit,
d6545c6b-dd9d-4265-91e6-0b451e2f1c50,,BuiltIn,App Service,App Service Environment should have TLS 1.0 and 1.1 disabled,TLS 1.0 and 1.1 are out-of-date protocols that do not support modern cryptographic algorithms. Disabling inbound TLS 1.0 and 1.1 traffic helps secure apps in an App Service Environment.,Azure_Security_Benchmark_v3.0_DP-3,MCSB-V2: Audit (Policy Default),"override: Deny,Audit,Disabled",Audit,,Audit,
11c82d0c-db9f-4d7b-97c5-f3f9aa957da2,,BuiltIn,App Service,Function app slots should disable public network access,Disabling public network access improves security by ensuring that the Function app is not exposed on the public internet. Creating private endpoints can limit exposure of a Function App. Learn more at: https://aka.ms/app-service-private-endpoint.,Azure_Security_Benchmark_v3.0_NS-2,MCSB-V2: Audit (Policy Default),"override: Deny,Audit,Disabled",Audit,,Audit,
cbe0e5eb-fea9-491d-ab20-a62cf049c5ae,,BuiltIn,App Service,Function app slots should enable end to end encryption,Enabling end to end encryption ensures front-end intra-cluster traffic between App Service front-ends and the workers running application workloads is encrypted.,Azure_Security_Benchmark_v3.0_DP-3,MCSB-V2: Audit (Policy Default),"override: Deny,Audit,Disabled",Audit,,Audit,
deb528de-8f89-4101-881c-595899253102,,BuiltIn,App Service,Function app slots should use the latest TLS version,"Periodically, newer versions are released for TLS either due to security flaws, include additional functionality, and enhance speed. Upgrade to the latest TLS version for Function apps to take advantage of security fixes, if any, and/or new functionalities of the latest version.",Azure_Security_Benchmark_v3.0_DP-3,MCSB-V2: AuditIfNotExists (Policy Default),"override: AuditIfNotExists,Disabled",AuditIfNotExists,,AuditIfNotExists,
969ac98b-88a8-449f-883c-2e9adb123127,,BuiltIn,App Service,Function apps should disable public network access,Disabling public network access improves security by ensuring that the Function app is not exposed on the public internet. Creating private endpoints can limit exposure of a Function App. Learn more at: https://aka.ms/app-service-private-endpoint.,Azure_Security_Benchmark_v3.0_NS-2,MCSB-V2: Audit (Policy Default),"override: Deny,Audit,Disabled",Audit,,Audit,
387140f1-6da9-4741-bcee-3b5edcdfd9ec,,BuiltIn,App Service,Function apps should enable end to end encryption,Enabling end to end encryption ensures front-end intra-cluster traffic between App Service front-ends and the workers running application workloads is encrypted.,Azure_Security_Benchmark_v3.0_DP-3,MCSB-V2: Audit (Policy Default),"override: Deny,Audit,Disabled",Audit,,Audit,
ab6a902f-9493-453b-928d-62c30b11b5a6,,BuiltIn,App Service,Function apps should have Client Certificates (Incoming client certificates) enabled,Client certificates allow for the app to request a certificate for incoming requests. Only clients that have a valid certificate will be able to reach the app. This policy applies to apps with Http version set to 1.1.,"Azure_Security_Benchmark_v3.0_PV-2,EU_2555_(NIS2)_2022_21","MCSB: AuditIfNotExists (Policy Default),MCSB-V2: AuditIfNotExists (Policy Default),NIS2-EU-2022: AuditIfNotExists (default: effect-ab6a902f-9493-453b-928d-62c30b11b5a6)","parameter: AuditIfNotExists,Disabled",AuditIfNotExists,,AuditIfNotExists,
0e60b895-3786-45da-8377-9c6b4b6ac5f9,,BuiltIn,App Service,Function apps should have remote debugging turned off,Remote debugging requires inbound ports to be opened on Function apps. Remote debugging should be turned off.,"Azure_Security_Benchmark_v3.0_PV-2,EU_2555_(NIS2)_2022_21,NIST_SP_800-53_R5_AC-17,NIST_SP_800-53_R5_AC-17(1),NIST_SP_800-53_R5_CM-6","MCSB: AuditIfNotExists (default: functionAppDisableRemoteDebuggingMonitoringEffect),MCSB-V2: AuditIfNotExists (Policy Default),NIST-800-53: AuditIfNotExists (Policy Default),NIS2-EU-2022: AuditIfNotExists (default: effect-0e60b895-3786-45da-8377-9c6b4b6ac5f9)","parameter: AuditIfNotExists,Disabled",AuditIfNotExists,,AuditIfNotExists,
0820b7b9-23aa-4725-a1ce-ae4558f718e5,,BuiltIn,App Service,Function apps should not have CORS configured to allow every resource to access your apps,Cross-Origin Resource Sharing (CORS) should not allow all domains to access your Function app. Allow only required domains to interact with your Function app.,"Azure_Security_Benchmark_v3.0_PV-2,EU_2555_(NIS2)_2022_21,NIST_SP_800-53_R5_CM-6","MCSB: AuditIfNotExists (default: functionAppRestrictCORSAccessMonitoringEffect),MCSB-V2: AuditIfNotExists (Policy Default),NIST-800-53: AuditIfNotExists (Policy Default),NIS2-EU-2022: AuditIfNotExists (default: effect-0820b7b9-23aa-4725-a1ce-ae4558f718e5)","parameter: AuditIfNotExists,Disabled",AuditIfNotExists,,AuditIfNotExists,
